size,60,75,90,110,125,200
12,15,20,25,25,25,35
10,25,30,35,40,40,50
8,35,40,45,50,55,65
6,40,50,55,65,70,80
4,55,65,75,80,90,105
3,65,75,85,95,100,125
2,75,90,100,115,120,150
1,85,100,115,125,135,165
1/0,100,120,135,150,160,195
2/0,115,135,150,170,180,220
3/0,130,155,175,195,210,255
4/0,150,180,205,225,245,295
250,170,205,230,260,275,0
300,195,230,260,290,310,0
350,210,250,280,315,335,0
400,225,270,305,340,365,0
500,260,310,350,390,420,0
600,285,340,385,430,460,0
750,320,385,435,485,520,0
1000,375,445,500,560,600,0
